station_name,station_lat,station_lon,nearest_river,nearby_pub_count
Aldermaston,51.4022099,-1.1367025,River Kennet,4
Kingham,51.9024116,-1.628532,River Evenlode,4
Bath Spa,51.3776019,-2.3567189,River Avon,4
Pontsticill,51.7999527,-3.3606768,Taf Fechan,4
Llandeilo,51.8851723,-3.9868387,River Towy,4
Cholsey,51.5704082,-1.1586983,River Thames,4
Colesloggett Halt,50.4598754,-4.6746399,Cardinham Water,4
Kingsmere,50.8536434,-1.8536555,Moors River,4
Westonzoyland,51.0909357,-2.943542,River Parrett,4
Avoncliff,51.33956,-2.2818436,River Avon,4
Pontgoch,52.0415523,-4.4299734,Afon Teifi,2
Toddington,51.9887603,-1.9297207,River Isbourne,2
Norton Fitzwarren,51.0246094,-3.1570253,River Tone,2
Pontprenshitw,52.0415956,-4.4069336,Afon Cynllo,2
Mansion House Station,50.6381388,-4.4381346,River Kensey,2
Toddington,51.989334,-1.9284569,River Isbourne,2
Alton,51.1518972,-0.9671299,River Wey,2
Avon Riverside,51.4155504,-2.4577535,River Avon,2
Keynsham,51.418071,-2.4958797,River Chew,2
Liphook,51.0712216,-0.8001257,River Wey,2
Llandovery,51.9953596,-3.8029237,River Towy,2
Forest Halt,52.0405985,-4.4034981,Afon Teifi,2
Dean,51.042415,-1.6343927,River Dun,2
Whitland,51.818025,-4.6149893,River Tâf,2
Pershore,52.1307399,-2.0723991,Piddle Brook,2
Taunton,51.0232945,-3.102674,River Tone,2
Bishops Lydeard,51.0541419,-3.1941161,Back Stream,0
Henllan High Level,52.0400325,-4.3952567,Nant Iago,0
Henllan,52.040521,-4.3949566,Nant Iago,0
Moreton,50.701118,-2.3138473,River Frome,0
Dol-y-gaer,51.8209203,-3.3682696,Taf Fechan,0
Garth,52.1333876,-3.5301867,River Irfon,0
Builth Road,52.1691098,-3.4271436,River Wye,0
Torpantau,51.8403136,-3.3807981,Taf Fechan,0
St Andrews Road,51.5124477,-2.6964411,River Avon,0
Portway Park and Ride,51.4881079,-2.6875586,River Avon,0
Wool,50.681661,-2.2213123,River Frome,0
Llwyfan Cerrig,51.9081128,-4.318223,Afon Gwili,0
Avonmouth,51.4997221,-2.6988623,River Avon,0
Llangammarch,52.1142069,-3.5551178,River Irfon,0
Danycoed,51.9072359,-4.3304149,Afon Gwili,0
Cilmeri,52.1504164,-3.4567317,River Irfon,0
Llanwrtyd,52.1046083,-3.6322246,Irfon,0
Cynghordy,52.0514771,-3.7484924,Afon Bran,0
Shirehampton,51.4842773,-2.6789317,River Avon,0
